Time(s),Force_mag (N),Angle,
7.15324,1.22003,1.35084,
7.16158,1.22003,1.35084,
7.1699,1.22003,1.35084,
7.17825,1.22003,1.35084,
7.18657,1.22003,1.35084,
7.19491,1.22003,1.35084,
7.20324,1.22003,1.35084,
7.21157,1.22003,1.35084,
7.21991,1.22003,1.35084,
7.22824,1.22003,1.35084,
7.23658,1.22003,1.35084,
7.24491,1.22003,1.35084,
7.25325,1.22003,1.35084,
7.26158,1.22003,1.35084,
7.2699,1.22003,1.35084,
7.27823,1.22003,1.35084,
7.28658,1.22003,1.35084,
7.29492,1.22003,1.35084,
7.30325,1.22003,1.35084,
7.31158,1.22003,1.35084,
7.31996,1.22003,1.35084,
7.3283,1.22003,1.35084,
7.33662,1.22003,1.35084,
7.34497,1.22003,1.35084,
7.3533,1.22003,1.35084,
7.36159,1.22003,1.35084,
7.36997,1.22003,1.35084,
7.3783,1.22003,1.35084,
7.38664,1.22003,1.35084,
7.39497,1.22003,1.35084,
7.40331,1.22003,1.35084,
7.41165,1.22003,1.35084,
7.41999,1.22003,1.35084,
7.42831,1.22003,1.35084,
7.43665,1.22003,1.35084,
7.44493,1.22003,1.35084,
7.45329,1.22003,1.35084,
7.4616,1.22003,1.35084,
7.46999,1.22003,1.35084,
7.47827,1.22003,1.35084,
7.48664,1.22003,1.35084,
7.49497,1.22003,1.35084,
7.50329,1.22003,1.35084,
7.51161,1.22003,1.35084,
7.5199,1.22003,1.35084,
7.52829,1.22003,1.35084,
7.53663,1.22003,1.35084,
7.54495,1.22003,1.35084,
7.55333,1.22003,1.35084,
7.56163,1.22003,1.35084,
7.57,1.22003,1.35084,
7.5783,1.22003,1.35084,
7.58667,1.22003,1.35084,
7.59497,1.22003,1.35084,
7.60334,1.22003,1.35084,
7.61164,1.22003,1.35084,
7.62001,1.22003,1.35084,
7.62832,1.22003,1.35084,
7.63667,1.22003,1.35084,
7.645,1.22003,1.35084,
7.65333,1.22003,1.35084,
7.66163,1.22003,1.35084,
